user_id,state_code,age,sex,race_ethnicity,party,is_supersharer,is_superconsumer,tweetsDuringStudy,total_exposures,n_exp,total_shares,n_share
757279,GA,60.8,Female,Caucasian,No Party/No Info,FALSE,TRUE,15564,47324,853,264,12
2131915,GA,53.7,Female,Caucasian,No Party/No Info,TRUE,TRUE,9261,148442,4625,1210,7
3363702,GA,61.6,Male,Caucasian,No Party/No Info,FALSE,FALSE,816,14179,1931,43,6
1291486,GA,54.7,Female,African-American,No Party/No Info,FALSE,FALSE,2418,545,3,82,3
1317514,GA,35.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,1603,7175,504,59,3
2617378,GA,46.9,Male,Caucasian,No Party/No Info,FALSE,TRUE,4625,45033,636,160,2
417392,GA,37.4,Female,Other,No Party/No Info,FALSE,FALSE,710,20513,1237,26,1
601564,GA,28,Male,Caucasian,No Party/No Info,FALSE,FALSE,8959,346,1,42,1
2609534,GA,44.7,Male,Caucasian,No Party/No Info,FALSE,FALSE,481,9282,27,26,1
824923,HI,48.5,Female,Other,No Party/No Info,FALSE,FALSE,1740,27956,1407,159,3
1097571,IA,51.6,Female,Caucasian,Republican,TRUE,TRUE,9514,55858,10442,1773,10
3137307,IA,63.2,Female,Caucasian,Democrat,FALSE,FALSE,577,32,0,13,1
3006126,IL,58.7,Female,Caucasian,No Party/No Info,FALSE,FALSE,1584,3126,201,23,8
1242899,IL,56.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,3473,451,2,48,7
2676553,IL,56.2,Female,Caucasian,No Party/No Info,FALSE,FALSE,1551,1794,6,52,4
1879612,IL,40.3,Female,African-American,No Party/No Info,FALSE,FALSE,630,345,5,15,2
2458118,IL,32.4,Male,Caucasian,No Party/No Info,FALSE,FALSE,7903,2438,7,115,2
174611,IL,55.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,128,38887,1512,4,1
527489,IL,60.4,Female,African-American,No Party/No Info,FALSE,FALSE,111,7023,141,3,1
2418168,IL,43.9,Male,Caucasian,No Party/No Info,FALSE,FALSE,322,2532,338,7,1
2562890,IL,47.2,Female,Caucasian,No Party/No Info,FALSE,FALSE,3753,16251,61,56,1
2769599,IN,47.9,Female,Caucasian,No Party/No Info,FALSE,TRUE,149,82282,3831,9,2
21061,IN,53.7,Male,Caucasian,No Party/No Info,FALSE,FALSE,1156,11955,789,8,1
220092,IN,26.3,Female,Caucasian,No Party/No Info,FALSE,FALSE,144,508,4,3,1
348977,IN,57.1,Female,Caucasian,No Party/No Info,FALSE,FALSE,69,6289,1417,4,1
3256014,KS,59.6,Male,Caucasian,Republican,FALSE,FALSE,1224,6656,494,62,6
2544435,KS,41.2,Female,Caucasian,Republican,FALSE,FALSE,3049,39482,4368,101,3
1654251,KS,74.5,Male,Caucasian,Republican,FALSE,FALSE,263,92,0,9,2
1359129,KY,21,Male,Caucasian,Republican,FALSE,FALSE,1035,1125,531,27,24
481452,KY,33.3,Male,Other,Democrat,FALSE,FALSE,4252,4412,22,30,2
1390329,KY,64.2,Female,Caucasian,Democrat,FALSE,TRUE,614,65485,4855,8,2
1130818,KY,50.1,Male,Caucasian,Other,FALSE,FALSE,594,12649,2012,11,1
2345959,KY,67.2,Male,Caucasian,Democrat,TRUE,FALSE,5666,13088,141,514,1
2530050,LA,51.1,Female,Caucasian,Independent,FALSE,TRUE,609,141478,23022,77,7
2526276,MA,67.7,Female,Caucasian,Independent,FALSE,FALSE,1707,9448,1661,142,10
3197035,MA,49.4,Male,Caucasian,Democrat,TRUE,TRUE,20631,58346,810,1526,7
127272,MA,28.5,Male,Caucasian,Independent,FALSE,FALSE,2959,3892,649,37,4
1240296,MA,35,Female,Caucasian,Independent,FALSE,FALSE,2389,11904,467,222,4
1728,MA,25.6,Male,Caucasian,Independent,FALSE,TRUE,3795,81604,168,120,2
2897156,MA,43.4,Male,Caucasian,Independent,FALSE,FALSE,205,6353,324,5,2
2986472,MA,58.9,Female,Caucasian,No Party/No Info,FALSE,FALSE,114,37993,4323,16,2
1295266,MA,63.5,Male,Caucasian,Independent,FALSE,FALSE,241,9918,31,3,1
1545276,MA,50.8,Male,Caucasian,Republican,FALSE,FALSE,21,1285,40,3,1
1719505,MA,22.3,Male,Hispanic,Democrat,FALSE,FALSE,348,630,89,3,1
2176918,MA,40.2,Female,Caucasian,Independent,FALSE,FALSE,4176,7922,20,11,1
3177080,MA,58,Male,Caucasian,Independent,FALSE,FALSE,265,8856,2,12,1
3312898,MA,51.1,Female,Caucasian,Democrat,FALSE,FALSE,75,5702,85,8,1
350979,MD,27,Female,Caucasian,Republican,FALSE,FALSE,2463,14405,2514,311,37
